[s]	o	p
gcmin:anthophyllite	gcmin:rruffchemistry	"<span style=""border: 1px solid #333; font-size:7px;""> </span>Mg<sub>2</sub>Mg<sub>5</sub>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>"
gcmin:anthophyllite	skos:prefLabel	Anthophyllite
gcmin:anthophyllite	gcmin:wikipediadate	1801
gcmin:anthophyllite	gcmin:mindatid	min-254
gcmin:anthophyllite	skos:exactMatch	<http://www.wikidata.org/entity/Q413322>
gcmin:anthophyllite	gcmin:mindaturl	http://www.mindat.org/min-254.html
gcmin:anthophyllite	skos:inScheme	gcmin:conceptScheme
gcmin:anthophyllite	rdfs:label	Anthophyllite
gcmin:anthophyllite	gcmin:strunzlabel	"Inosilicate with 2-periodic double chains, Si4O11; Clinoamphiboles"
gcmin:anthophyllite	gcmin:structuralgroup	Amphibole
gcmin:anthophyllite	gcmin:fleischersgroup	amphibole-group 1 Mg-Fe-Mn-Li
gcmin:anthophyllite	gcmin:statusnotes	"Schumacher C F (1801) Anthophyllit, in Versuch eines Verzeichnisses der in den D?nisch-Nordischen Staaten sich findenden einfachen Mineralien, Brummer (Kopenhagen) 96-96"
gcmin:anthophyllite	gcmin:imastatus	Approved|Redefined
gcmin:anthophyllite	skos:exactMatch	gsqmin:anthophyllite
gcmin:anthophyllite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/43520>
gcmin:anthophyllite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/anthophyllite.pdf
gcmin:anthophyllite	gcmin:webmineralurl	http://www.webmineral.com/data/Anthophyllite.shtml
gcmin:anthophyllite	gcmin:rruffnameplain	Anthophyllite
gcmin:antigorite	gcmin:webmineralurl	http://www.webmineral.com/data/Antigorite.shtml
gcmin:antigorite	gcmin:localitycount	900
gcmin:antigorite	gcmin:strunzcodeV10	09.ED.15
gcmin:antigorite	gcmin:chemistryelements	Mg | Si | O | H
gcmin:antigorite	rdf:type	skos:Concept
gcmin:antigorite	gcmin:mindatid	min-260
gcmin:antigorite	skos:exactMatch	gsqmin:antigorite
gcmin:antigorite	gcmin:rruffids	R070228
gcmin:antigorite	skos:prefLabel	Antigorite
gcmin:antigorite	skos:exactMatch	<https://www.mindat.org/1:1:260:6>
gcmin:antigorite	gcmin:imastatus	Approved|Redefined
gcmin:antigorite	gcmin:rruffchemistry	Mg<sub>3</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>
gcmin:antigorite	gcmin:rruffnamehtml	Antigorite
gcmin:antigorite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/11135>
gcmin:antigorite	gcmin:wikipediadate	1840
gcmin:antigorite	gcmin:strunzlabel	Phyllosilicate with kaolinite layers composed of tetrahedral and octahedral nets
gcmin:antigorite	gcmin:structuralgroup	Clay
gcmin:antigorite	gcmin:mindaturl	http://www.mindat.org/min-260.html
gcmin:antigorite	gcmin:imachemistry	Mg<sub>3</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>
gcmin:antigorite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/antigorite.pdf
gcmin:antigorite	gcmin:statusnotes	"Schweizer E (1840) Ueber den antigorit, ein neues mineral, Annalen der Physik und Chemie 19, 595-599"
gcmin:antigorite	rdfs:label	Antigorite
gcmin:antigorite	gcmin:rruffnameplain	Antigorite
gcmin:antigorite	skos:inScheme	gcmin:conceptScheme
gcmin:antigorite	gcmin:fleischersgroup	kaolinite-serpentine-kaolinite subgroup
gcmin:antigorite	skos:exactMatch	<http://www.wikidata.org/entity/Q2252850>
gcmin:antigorite	gcmin:crystalsystem	monoclinic
gcmin:aragonite	gcmin:statusnotes	"Mineral known earlier, but named arragonischer apatit by Werner: Werner A G (1788) Geschichte, Karakteristik, und kurze chemische Untersuchung des Apatits. IV. Kurze Nachricht von den sogenannten arragonischen Apatiten, Bergmannisches Journal 1, 76-96 Renamed arragonite: Hauy C (1791) Sur l'arragonite de Werner, Bulletin des Science, par la Soci?t? Philomathique 2, 67-68"
gcmin:aragonite	gcmin:mindaturl	http://www.mindat.org/min-307.html
gcmin:aragonite	gcmin:wikipediadate	1788
gcmin:aragonite	gcmin:webmineralurl	http://www.webmineral.com/data/Aragonite.shtml
gcmin:aragonite	rdf:type	skos:Concept
gcmin:aragonite	skos:inScheme	gcmin:conceptScheme
gcmin:aragonite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29269>
gcmin:aragonite	gcmin:chemistryelements	Ca | C | O
gcmin:aragonite	gcmin:rruffids	R040078 | R060195 | R080142 | R150021
gcmin:aragonite	rdfs:label	Aragonite
gcmin:aragonite	gcmin:fleischersgroup	aragonite
gcmin:aragonite	gcmin:rruffnameplain	Aragonite
gcmin:aragonite	gcmin:localitycount	3931
gcmin:aragonite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/aragonite.pdf
gcmin:aragonite	gcmin:strunzlabel	"Carbonate without additional anions, without H2O, Alkali-earth (and other M2+) carbonates"
gcmin:aragonite	gcmin:mindatid	min-307
gcmin:aragonite	gcmin:structuralgroup	Aragonite
gcmin:aragonite	gcmin:crystalsystem	orthorhombic
gcmin:aragonite	gcmin:imastatus	Grandfathered|Approved
gcmin:aragonite	skos:exactMatch	<https://www.mindat.org/1:1:307:6>
gcmin:aragonite	gcmin:strunzcodeV10	05.AB.15
gcmin:aragonite	gcmin:rruffchemistry	CaCO<sub>3</sub>
gcmin:aragonite	gcmin:rruffnamehtml	Aragonite
gcmin:aragonite	skos:exactMatch	<http://www.wikidata.org/entity/Q23775>
gcmin:aragonite	skos:prefLabel	Aragonite
gcmin:aragonite	gcmin:iupacchemname	IUPAC: Calcium carbonate
gcmin:aragonite	skos:exactMatch	gsqmin:aragonite
gcmin:aragonite	gcmin:imachemistry	Ca(CO<sub>3</sub>)
gcmin:arfvedsonite	skos:exactMatch	gsqmin:arfvedsonite
gcmin:arfvedsonite	gcmin:webmineralurl	http://www.webmineral.com/data/Arfvedsonite.shtml
gcmin:arfvedsonite	gcmin:structuralgroup	Amphibole
gcmin:arfvedsonite	rdfs:label	Arfvedsonite
gcmin:arfvedsonite	skos:exactMatch	<https://www.mindat.org/1:1:325:2>
gcmin:arfvedsonite	gcmin:rruffnamehtml	Arfvedsonite
gcmin:arfvedsonite	gcmin:imachemistry	NaNa<sub>2</sub>(Fe<sup>2+</sup><sub>4</sub>Fe<sup>3+</sup>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>
gcmin:arfvedsonite	skos:exactMatch	<http://www.wikidata.org/entity/Q2008960>
gcmin:arfvedsonite	gcmin:fleischersgroup	amphibole-group 4 Na
gcmin:arfvedsonite	gcmin:chemistryelements	Na | Fe | Si | O | H
gcmin:arfvedsonite	gcmin:statusnotes	"Brooke H J (1823) A description of the crystalline form of some new minerals. Arfwedsonite, The Annals of Philosophy 5, 381-384"
gcmin:arfvedsonite	skos:prefLabel	Arfvedsonite
gcmin:arfvedsonite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/8603>
gcmin:arfvedsonite	gcmin:strunzlabel	"Inosilicate with 2-periodic double chains, Si4O11; Clinoamphiboles"
gcmin:arfvedsonite	gcmin:wikipediadate	1823
gcmin:arfvedsonite	gcmin:rruffids	R040127 | R050514 | R110049
gcmin:arfvedsonite	gcmin:mindatid	min-325
gcmin:arfvedsonite	gcmin:strunzcodeV10	09.DE.25
gcmin:arfvedsonite	gcmin:rruffnameplain	Arfvedsonite
gcmin:arfvedsonite	gcmin:imastatus	Redefined|Approved
gcmin:arfvedsonite	skos:inScheme	gcmin:conceptScheme
gcmin:arfvedsonite	gcmin:localitycount	646
gcmin:arfvedsonite	rdf:type	skos:Concept
gcmin:arfvedsonite	gcmin:rruffchemistry	NaNa<sub>2</sub>(Fe<sup>2+</sup><sub>4</sub>Fe<sup>3+</sup>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>
gcmin:arfvedsonite	gcmin:mindaturl	http://www.mindat.org/min-325.html
gcmin:arfvedsonite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/arfvedsonite.pdf
gcmin:arfvedsonite	gcmin:crystalsystem	monoclinic
gcmin:arsenic	gcmin:chemistryelements	As
gcmin:arsenic	gcmin:imachemistry	As
gcmin:arsenic	gcmin:fleischersgroup	arsenic
gcmin:arsenic	skos:inScheme	gcmin:conceptScheme
gcmin:arsenic	skos:prefLabel	Arsenic
gcmin:arsenic	gcmin:mindaturl	http://www.mindat.org/min-357.html
gcmin:arsenic	gcmin:structuralgroup	Arsenic
gcmin:arsenic	rdf:type	skos:Concept
gcmin:arsenic	skos:exactMatch	<https://www.mindat.org/1:1:357:1>
gcmin:arsenic	gcmin:rruffnamehtml	Arsenic
gcmin:arsenic	gcmin:statusnotes	Mineral name has been known since antiquity and predates any formal descriptive publication.
gcmin:arsenic	gcmin:rruffids	R050653
gcmin:arsenic	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29270>
gcmin:arsenic	rdfs:label	Arsenic
gcmin:arsenic	gcmin:strunzlabel	Arsenic group element
gcmin:arsenic	gcmin:wikipediadate	old
gcmin:arsenic	gcmin:mindatid	min-357
gcmin:arsenic	gcmin:imastatus	Grandfathered|Approved
gcmin:arsenic	gcmin:localitycount	454
gcmin:arsenic	gcmin:rruffnameplain	Arsenic
gcmin:arsenic	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/arsenic.pdf
gcmin:arsenic	gcmin:strunzcodeV10	01.CA.05
gcmin:arsenic	gcmin:crystalsystem	"hexagonal, rhombohedral"
gcmin:arsenic	gcmin:rruffchemistry	As
gcmin:arsenic	skos:exactMatch	gsqmin:arsenic
gcmin:arsenic	gcmin:webmineralurl	http://www.webmineral.com/data/Arsenic.shtml
gcmin:arsenopyrite	gcmin:localitycount	10704
gcmin:arsenopyrite	skos:exactMatch	<http://www.wikidata.org/entity/Q191939>
gcmin:arsenopyrite	gcmin:wikipediadate	1847
gcmin:arsenopyrite	rdf:type	skos:Concept
gcmin:arsenopyrite	gcmin:mindatid	min-305
gcmin:arsenopyrite	gcmin:imastatus	Approved
gcmin:arsenopyrite	gcmin:mindaturl	http://www.mindat.org/min-305.html
gcmin:arsenopyrite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29271>
gcmin:arsenopyrite	rdfs:label	Arsenopyrite
gcmin:arsenopyrite	gcmin:rruffchemistry	Fe<sup>3+</sup>(AsS)<sup>3-</sup>
gcmin:arsenopyrite	skos:exactMatch	gsqmin:arsenopyrite
gcmin:arsenopyrite	gcmin:strunzcodeV10	02.EB.20
gcmin:arsenopyrite	gcmin:structuralgroup	Arsenopyrite
gcmin:arsenopyrite	gcmin:iupacchemname	IUPAC: Iron arsenide sulfide
gcmin:arsenopyrite	gcmin:chemistryelements	Fe | As | S
gcmin:arsenopyrite	gcmin:statusnotes	"The mineral was known before this publication, but under other names, such as mispickel: Glocker E F (1847) Ordo VI. Pyritae. Pyrite. III. Pyritae arsenopyritoidei. 10. Arsenopyrites., in Generum et Specierum Mineralium, Secundum Ordines Naturales Digestorum Synopsis, Apud Eduardum Anton 34-43"
gcmin:arsenopyrite	skos:prefLabel	Arsenopyrite
gcmin:arsenopyrite	gcmin:crystalsystem	"monoclinic, triclinic"
gcmin:arsenopyrite	gcmin:strunzlabel	"Metal sulfide, M: S <= 1:2 with Fe, Co, Ni, PGE, etc."
gcmin:arsenopyrite	gcmin:rruffids	R050071 | R061082 | R070585
gcmin:arsenopyrite	gcmin:imachemistry	FeAsS
gcmin:arsenopyrite	gcmin:webmineralurl	http://www.webmineral.com/data/Arsenopyrite.shtml
gcmin:arsenopyrite	skos:exactMatch	<https://www.mindat.org/1:1:305:8>
gcmin:arsenopyrite	gcmin:rruffnamehtml	Arsenopyrite
gcmin:arsenopyrite	gcmin:rruffnameplain	Arsenopyrite
gcmin:arsenopyrite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/arsenopyrite.pdf
gcmin:arsenopyrite	skos:inScheme	gcmin:conceptScheme
gcmin:arsenopyrite	gcmin:fleischersgroup	arsenopyrite
gcmin:atacamite	skos:prefLabel	Atacamite
gcmin:atacamite	gcmin:imachemistry	Cu<sub>2</sub>Cl(OH)<sub>3</sub>
gcmin:atacamite	gcmin:strunzlabel	"Double-, Oxy- or Hydroxy- halide with Cu, etc., without Pb"
gcmin:atacamite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/39924>
gcmin:atacamite	skos:inScheme	gcmin:conceptScheme
gcmin:atacamite	gcmin:imastatus	Grandfathered|Approved
gcmin:atacamite	gcmin:mindaturl	http://www.mindat.org/min-406.html
gcmin:atacamite	gcmin:fleischersgroup	atacamite
gcmin:atacamite	gcmin:strunzcodeV10	03.DA.10a
gcmin:atacamite	gcmin:localitycount	689
gcmin:atacamite	gcmin:statusnotes	"Blumenbach J F (1803) L'atacamit, sable vert d'Atacama, in Manuel D'Histoire Naturelle, Volume 2, Soulange Artaud (Paris) 348-349"
gcmin:atacamite	gcmin:chemistryelements	Cu | Cl | O | H
gcmin:atacamite	gcmin:rruffids	R050098
gcmin:atacamite	gcmin:wikipediadate	1803
gcmin:atacamite	skos:exactMatch	gsqmin:atacamite
gcmin:atacamite	gcmin:rruffchemistry	Cu<sup>2+</sup><sub>2</sub>Cl(OH)<sub>3</sub>
gcmin:atacamite	gcmin:structuralgroup	Atacamite
gcmin:atacamite	gcmin:rruffnameplain	Atacamite
gcmin:atacamite	rdfs:label	Atacamite
gcmin:atacamite	skos:exactMatch	<https://www.mindat.org/1:1:406:6>
gcmin:atacamite	gcmin:crystalsystem	orthorhombic
gcmin:atacamite	gcmin:iupacchemname	IUPAC: Dicopper chloride trihydroxyl
gcmin:atacamite	skos:exactMatch	<http://www.wikidata.org/entity/Q409775>
gcmin:atacamite	gcmin:rruffnamehtml	Atacamite
gcmin:atacamite	gcmin:mindatid	min-406
gcmin:atacamite	rdf:type	skos:Concept
gcmin:atacamite	gcmin:webmineralurl	http://www.webmineral.com/data/Atacamite.shtml
gcmin:atacamite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/atacamite.pdf
gcmin:augite	skos:exactMatch	<http://www.wikidata.org/entity/Q192141>
gcmin:augite	skos:inScheme	gcmin:conceptScheme
gcmin:augite	gcmin:mindaturl	http://www.mindat.org/min-419.html
gcmin:augite	gcmin:statusnotes	"Pliny [translated by Hardouin, 1685] (77) Augites, in Caii Plinii secundi Naturalis historiae libri XXXVII interpretatione et notis illustravit Joannes Harduinus in usum Delphini, Franciscum Muguet (Paris) 406-406 The name was used to describe several different species until this paper: Werner A G (1792) Geognostische Beobachtungen, auf einer Reife durch einen Theil des b÷hmischen Mittelgebirges, Bergmannisches Journal 1, 215-266"
gcmin:augite	skos:exactMatch	gsqmin:augite
gcmin:augite	gcmin:rruffids	R061086 | R061108 | R070231 | R110063
gcmin:augite	gcmin:strunzcodeV10	09.DA.15
gcmin:augite	gcmin:mindatid	min-419
gcmin:augite	gcmin:crystalsystem	monoclinic
gcmin:augite	gcmin:rruffchemistry	"(Ca,Mg,Fe<sup>2+</sup>,Fe<sup>3+</sup>)<sub>2</sub>(Si,Al)<sub>2</sub>O<sub>6</sub>"
gcmin:augite	gcmin:rruffnameplain	Augite
gcmin:augite	gcmin:chemistryelements	Ca | Mg | Fe | Si | O
gcmin:augite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/augite.pdf
gcmin:augite	rdf:type	skos:Concept
gcmin:augite	gcmin:webmineralurl	http://www.webmineral.com/data/Augite.shtml
gcmin:augite	gcmin:imastatus	Approved
gcmin:augite	rdfs:label	Augite
gcmin:augite	gcmin:localitycount	2953
gcmin:augite	gcmin:structuralgroup	Pyroxene
gcmin:augite	skos:broader	gcmin:high-calciumpyroxene
gcmin:augite	gcmin:rruffnamehtml	Augite
gcmin:augite	skos:prefLabel	Augite
gcmin:augite	gcmin:imachemistry	"(Ca,Mg,Fe)<sub>2</sub>Si<sub>2</sub>O<sub>6</sub>"
gcmin:augite	gcmin:fleischersgroup	pyroxene
gcmin:augite	gcmin:strunzlabel	"Inosilicate with 2-periodic single chains, Si2O6; pyroxene family"
gcmin:augite	skos:exactMatch	<https://www.mindat.org/1:1:419:0>
gcmin:aurichalcite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/aurichalcite.pdf
gcmin:aurichalcite	skos:exactMatch	gsqmin:aurichalcite
gcmin:aurichalcite	rdf:type	skos:Concept
gcmin:aurichalcite	gcmin:localitycount	1117
gcmin:aurichalcite	rdfs:label	Aurichalcite
gcmin:aurichalcite	gcmin:strunzlabel	"Carbonate with additional anions, without H2O, With Cu, Co, Ni, Zn, Mg, Mn"
gcmin:aurichalcite	gcmin:chemistryelements	Zn | Cu | C | O | H
gcmin:aurichalcite	skos:inScheme	gcmin:conceptScheme
gcmin:aurichalcite	gcmin:webmineralurl	http://www.webmineral.com/data/Aurichalcite.shtml
gcmin:aurichalcite	gcmin:rruffchemistry	Zn<sup>2+</sup><sub>5</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>6</sub>
gcmin:aurichalcite	skos:exactMatch	<http://www.wikidata.org/entity/Q410369>
gcmin:aurichalcite	gcmin:rruffids	R050297 | R060426
gcmin:aurichalcite	gcmin:statusnotes	"Boettger T (1839) Chemische untersuchung des aurichalcits, eines neuen kupfererzes vom Altai, Annalen der Physik und Chemie 48, 495-500"
gcmin:aurichalcite	gcmin:iupacchemname	IUPAC: Pentazinc dicarbonate hexahydroxyl
gcmin:aurichalcite	skos:exactMatch	<https://www.mindat.org/1:1:422:4>
gcmin:aurichalcite	skos:broader	strunz:s05_BA
gcmin:aurichalcite	gcmin:mindaturl	http://www.mindat.org/min-422.html
gcmin:aurichalcite	gcmin:imastatus	Grandfathered|Approved
gcmin:aurichalcite	gcmin:imachemistry	"(Zn,Cu)<sub>5</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>6</sub>"
gcmin:aurichalcite	skos:prefLabel	Aurichalcite
gcmin:aurichalcite	gcmin:rruffnameplain	Aurichalcite
gcmin:aurichalcite	gcmin:crystalsystem	monoclinic
gcmin:aurichalcite	gcmin:rruffnamehtml	Aurichalcite
gcmin:aurichalcite	gcmin:mindatid	min-422
gcmin:aurichalcite	gcmin:strunzcodeV10	05.BA.15
gcmin:aurichalcite	gcmin:wikipediadate	1839
gcmin:autunite	gcmin:wikipediadate	1852
gcmin:autunite	gcmin:localitycount	1477
gcmin:autunite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/autunite.pdf
gcmin:autunite	gcmin:strunzlabel	"Uranyl phosphate or arsenate, UO2:RO4á= 1:1"
gcmin:autunite	gcmin:rruffnameplain	Autunite
gcmin:autunite	skos:exactMatch	gsqmin:autunite
gcmin:autunite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29274>
gcmin:autunite	gcmin:crystalsystem	orthorhombic
gcmin:autunite	gcmin:imastatus	Grandfathered|Approved
gcmin:autunite	gcmin:fleischersgroup	autunite
gcmin:autunite	gcmin:rruffchemistry	Ca(UO<sub>2</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>?10-12H<sub>2</sub>O
gcmin:autunite	gcmin:rruffnamehtml	Autunite
gcmin:autunite	gcmin:chemistryelements	Ca | U | O | P | H
gcmin:autunite	rdf:type	skos:Concept
gcmin:autunite	gcmin:imachemistry	Ca(UO<sub>2</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>?10-12H<sub>2</sub>O
gcmin:autunite	gcmin:iupacchemname	IUPAC: Calcium diuranyl diphosphate undecahydrate
gcmin:autunite	skos:inScheme	gcmin:conceptScheme
gcmin:autunite	skos:prefLabel	Autunite
gcmin:autunite	gcmin:webmineralurl	http://www.webmineral.com/data/Autunite.shtml
gcmin:autunite	skos:exactMatch	<https://www.mindat.org/1:1:433:0>
gcmin:autunite	gcmin:strunzcodeV10	08.EB.05
gcmin:autunite	gcmin:structuralgroup	Autunite
gcmin:autunite	gcmin:mindaturl	http://www.mindat.org/min-433.html
gcmin:autunite	rdfs:label	Autunite
gcmin:autunite	skos:exactMatch	<http://www.wikidata.org/entity/Q407345>
gcmin:autunite	gcmin:mindatid	min-433
gcmin:autunite	gcmin:statusnotes	"Phillips W, Brooke H J, Miller W H (1852) Autunite, in An Elementary Introduction to Mineralogy, Longman, Brown, Green, and Longman (London) 519-519"
gcmin:azurite	gcmin:rruffnamehtml	Azurite
gcmin:azurite	gcmin:rruffnameplain	Azurite
gcmin:azurite	gcmin:mindatid	min-447
gcmin:azurite	skos:exactMatch	gsqmin:azurite
gcmin:azurite	gcmin:imachemistry	Cu<sub>3</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>
gcmin:azurite	gcmin:strunzlabel	"Carbonate with additional anions, without H2O, With Cu, Co, Ni, Zn, Mg, Mn"
gcmin:azurite	skos:inScheme	gcmin:conceptScheme
gcmin:azurite	rdf:type	skos:Concept
gcmin:azurite	skos:exactMatch	<http://www.wikidata.org/entity/Q108212>
gcmin:azurite	gcmin:strunzcodeV10	05.BA.05
gcmin:azurite	gcmin:crystalsystem	monoclinic
gcmin:azurite	gcmin:wikipediadate	old
gcmin:azurite	gcmin:mindaturl	http://www.mindat.org/min-447.html
gcmin:azurite	skos:prefLabel	Azurite
gcmin:azurite	gcmin:localitycount	6399
gcmin:azurite	gcmin:statusnotes	"The name was used on several different minerals prior to this publication: Beudant F S (1832) Azurite, in Trait? ?l?mentaire de Min?ralogie, 2nd Edition, (Paris) 373-374"
gcmin:azurite	gcmin:webmineralurl	http://www.webmineral.com/data/Azurite.shtml
gcmin:azurite	gcmin:rruffids	R050497 | R050638
gcmin:azurite	gcmin:imastatus	Grandfathered|Approved
gcmin:azurite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/azurite.pdf
gcmin:azurite	skos:broader	strunz:s05_BA
gcmin:azurite	skos:exactMatch	<https://www.mindat.org/1:1:447:3>
gcmin:azurite	gcmin:rruffchemistry	Cu<sup>2+</sup><sub>3</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>
gcmin:azurite	gcmin:iupacchemname	IUPAC: Tricopper dicarbonate dihydroxyl
gcmin:azurite	rdfs:label	Azurite
gcmin:azurite	gcmin:chemistryelements	Cu | C | O | H
gcmin:baryte	skos:inScheme	gcmin:conceptScheme
gcmin:baryte	rdf:type	skos:Concept
gcmin:baryte	gcmin:wikipediadate	1797
gcmin:baryte	gcmin:strunzcodeV10	07.AD.35
gcmin:baryte	gcmin:iupacchemname	IUPAC: Barium sulfate
gcmin:baryte	gcmin:fleischersgroup	celestine
gcmin:baryte	rdfs:label	Baryte
gcmin:baryte	gcmin:localitycount	13959
gcmin:baryte	gcmin:statusnotes	"Bras-de-Fer L (1778) (84) Terre (?l?ment), in Explication Morale du Jeu de Cartes; Anecdote Curieuse et Interessante, (Bruxelles) 99-100 Spelling of name is formally defined: International Mineralogical Association (1971) International Mineralogical Association: Commission on new minerals and mineral names, Mineralogical Magazine 38, 102-105"
gcmin:baryte	gcmin:webmineralurl	http://www.webmineral.com/data/Baryte.shtml
gcmin:baryte	gcmin:rruffchemistry	BaSO<sub>4</sub>
gcmin:baryte	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/baryte.pdf
gcmin:baryte	gcmin:chemistryelements	Ba | S | O
gcmin:baryte	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29275>
gcmin:baryte	gcmin:mindaturl	http://www.mindat.org/min-549.html
gcmin:baryte	skos:exactMatch	<https://www.mindat.org/1:1:549:0>
gcmin:baryte	skos:prefLabel	Baryte
gcmin:baryte	skos:broader	strunz:s07_AD
gcmin:baryte	gcmin:imachemistry	Ba(SO<sub>4</sub>)
gcmin:baryte	gcmin:strunzlabel	"Sulfate, selenate, etc. without additional anions, without H2O, With only large cations"
gcmin:baryte	gcmin:mindatid	min-549
gcmin:baryte	gcmin:rruffnamehtml	Baryte
gcmin:baryte	gcmin:imastatus	Approved
gcmin:baryte	gcmin:rruffnameplain	Baryte
gcmin:baryte	skos:exactMatch	<http://www.wikidata.org/entity/Q184196>
gcmin:baryte	gcmin:structuralgroup	Baryte
gcmin:baryte	gcmin:crystalsystem	orthorhombic
gcmin:baryte	skos:exactMatch	gsqmin:baryte
gcmin:baryte	gcmin:rruffids	R040036 | R050342 | R050335 | R050375
gcmin:bertrandite	skos:inScheme	gcmin:conceptScheme
